Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized
"Zhang, Kang","Wang, Xiaoyu",,,,,CS,6366,0U1,,12,1,4,,,1,,,,,,,,,,,,1,kzhang,kang zhang
"Nagar, Anurag","Li, Yifan",,,,,CS,4301,5U1,7,4,4,3,1,,,,,,,,,,,,,,,axn112530,anurag nagar
"Ishigaki, Genya","Tong, Guangmo",,,,,CS,3305,0U2,,6,,1,2,2,,2,1,,,3,2,,,,,,1,gxi160230,genya ishigaki
"Paulk, Mark C","Li, Fang",,,,,CS,1325,0U1,,3,2,4,3,1,1,3,1,2,,,,,,,,,,mcp130030,mark paulk
"Mittal, Neeraj","Gokhale, Shreyas S",,,,,CS,6378,0U1,,5,3,7,4,1,,,,,,,,,,,,,,nxm020100,neeraj mittal
"Shields, Charles O","Tran, Trung Hieu",,,,,CS,1337,0U1,1,1,4,1,,2,2,2,2,,,1,6,,,,,,,cshields,charles shields
"Nouroz Borazjany, Mehra","Kolluri, Kirthy",,,,,CS,6359,0U1,,5,6,8,2,1,,,,,,,,,,,,,,mxn143230,mehra borazjany
"Gupta, Neeraj K","Li, Fang","Kolluri, Kirthy",,,,CS,5343,0U1,,9,2,3,3,2,,1,,,,,2,,,,,,1,nkg140130,neeraj gupta
"Gupta, Neeraj K","Ozarslan, Omer F",,,,,CS,6385,0W2,,10,9,1,2,,,1,,,,,,,,,,,,nkg140130,neeraj gupta
"Chandrasekaran, Ramaswamy","Malik, Hemant",,,,,CS,6363,0U1,,9,4,5,2,2,1,,,,,,,,,,,,1,chandra,ramaswamy chandrasekaran
"Davis, Chris I","Varanasi, Sarat Chandra","Solanki, Nidhiben M",,,,CS,4337,0U1,1,2,1,2,3,3,4,2,,1,3,1,1,,,,,,,cid021000,chris davis
"Thuraisingham, Bhavani","Ricks, Brian W",,,,,CS,6301,0U1,,22,2,,,,,,,,,,,,,,,,,bxt043000,bhavani thuraisingham
"Davis, Chris I","Solanki, Nidhiben M",,,,,CS,6360,5U1,,13,4,7,1,,,,,,,,,,,,,,,cid021000,chris davis
"Mazidi, Karen J","Torabi, Behnam",,,,,CS,4375,0U2,,1,2,3,4,6,2,1,,,1,,4,,,,,,1,kjm160430,karen mazidi
"Nagar, Anurag","Li, Yifan",,,,,CS,6350,0U1,,11,8,5,1,,,,,,,,,,,,,,1,axn112530,anurag nagar
"Khan, Ziaullah","Guo, Jinghui","Mi, Feng",,,,CS,2336,0U1,7,5,6,4,3,,,,,,,,1,,,,,,,kkhan,ziaullah khan
"Farago, Andras","Xu, Rupei",,,,,CS,6385,0W1,,17,8,,2,,,,,,,,,,,,,,,farago,andras farago
"Shields, Charles O","Mohammadpour, Somayeh",,,,,CS,4384,0U1,1,5,1,,4,1,1,4,2,,3,2,3,,,,,,,cshields,charles shields
"Ozbirn, Greg A","Nguyen, Son V",,,,,CS,4336,0U1,1,5,6,3,4,,3,2,1,,1,1,,,,,,1,,ozbirn,greg ozbirn
"Arnold, Gordon L","Wang, Zhuoyi",,,,,CS,1336,0U1,1,4,6,4,4,2,3,2,,1,1,,,,,,,,,gxa120930,gordon arnold
"Farage, Timothy P","Tong, Guangmo",,,,,CS,3305,0U1,18,5,2,,,1,1,,,,1,,1,,,,,,,tfarage,timothy farage
"Cankaya, Ebru C","Huang, Hongyao",,,,,CS,4347,0U1,3,12,1,3,8,1,1,1,,,,,1,,,,,,,exc067000,ebru cankaya
"Arnold, Gordon L","Wang, Chao","Wang, Zhuoyi",,,,CS,3360,5U1,7,4,3,3,3,5,2,1,,2,1,,1,,,,,,,gxa120930,gordon arnold
"Khan, Ziaullah","Guo, Jinghui","Mi, Feng",,,,CS,2336,0U2,8,5,6,7,3,,,,,,,,4,,,,,,,kkhan,ziaullah khan
"Whalen, Tristan G","Langford, John",,,,,CS,3341,0U1,5,4,4,2,3,1,5,2,2,,,2,3,,,,,,,tgw100020,tristan whalen
"Mazidi, Karen J","Torabi, Behnam",,,,,CS,3340,0U2,1,1,5,6,5,6,2,2,2,,1,,5,,,,,,,kjm160430,karen mazidi
"Schweitzer, Haim","Hu, Yibo",,,,,CS,6375,5U1,,13,9,6,5,2,1,,,,,,,,,,,,,haim,haim schweitzer
"Min, Richard K","Munia, Munawara Saiyara","Yousefpour, Ashkan",,,,CS,3377,0W1,3,6,5,5,5,4,3,4,1,,,,1,,,,,,1,rkm010300,richard min
"Schweitzer, Haim","Zhang, Shuai",,,,,CS,6364,0U1,,21,10,1,2,3,,2,,,,,,,,,,,1,haim,haim schweitzer
"Bateni, Soroush","Gokhale, Shreyas S","Tian, Zijing",,,,CS,4348,0U1,9,3,3,6,7,5,2,3,3,,,,6,,,,,,,sxb155530,
"Cankaya, Ebru C","Mao, Dongyu",,,,,CS,4349,0U1,6,10,3,3,10,5,1,8,,,1,,1,,,,,,,exc067000,ebru cankaya
"Farage, Timothy P","Tong, Guangmo","Hu, Linghuan",,,,CS,2305,5U1,5,12,3,4,3,6,,10,4,3,2,,2,,,,,,,tfarage,timothy farage
"Saba, Monica",,,,,,DANC,1310,0H1,1,21,4,1,1,,,,,,,,,,,,,,,msaba,monica saba
"Chen, Zhengyang",,,,,,ECON,2301,0U1,,3,3,2,1,,,,,,,,2,,,,,,,zxc151030,zhengyang chen
"Zhang, Zeyu",,,,,,ECON,2302,5U1,1,4,4,1,2,,,1,,,,,,,,,,,,zxz110530,zeyu zhang
"Grover, William C",,,,,,ECON,6306,0U1,,19,1,,,,1,,,,,,,,,,,1,,wcg071000,william grover
"Crowder, Wade A",,,,,,ECS,3390,053,,2,4,5,4,1,,1,,,,,,,,,,,,wac010100,wade crowder
"Scally, Deborah A",,,,,,ECS,3390,091,5,5,1,2,2,,1,,,,1,,1,,,,,,,das,deborah scally
"Mohsene, Laura L",,,,,,ECS,3390,092,,5,6,4,,1,1,,1,,,,,,,,,,,olive,laura mohsene
"King, Carie S",,,,,,ECS,3390,052,2,9,3,4,,,,,,,,,,,,,,,,cxl085200,carie king
"Moore, Lindsay E",,,,,,ECS,3390,051,5,8,3,1,1,,,,1,,,,,,,,,,,lem150330,lindsay moore
"King, Carie S",,,,,,ECS,3390,054,1,10,3,1,2,,1,,,,,,1,,,,,,,cxl085200,carie king
"Ibrahim, Yaser M",,,,,,ECS,3361,5U1,1,5,7,14,7,7,3,3,1,,,,1,,,,,,,ymi140030,yaser ibrahim
"Lee, Hoi","Cheng, Qi",,,,,EE,3111,1U1,6,4,,,,,,,,,,,,,,,,,,hxl054000,hoi lee
"Liu, Jin","Ren, Jiajun","Zhang, Yunjie",,,,EE,3101,1U1,,9,,1,,,,,,,,,1,,,,,,,jinliu,jin liu
"Bhatia, Dinesh","Thakur, Sneha",,,,,EE,4388,0U1,,8,1,,2,,,,,,,,,,,,,,,dinesh,dinesh bhatia
"Tinker, Mark T",,,,,,EE,3110,1U1,,6,1,5,,,,,,,,,,,,,,,,mtinker,mark tinker
"Kehtarnavaz, Nasser","Wei, Haoran","Shankar, Nikhil",,,,EE,3102,1U1,6,3,2,1,1,1,,1,,,,,1,,,,,,,nxk019000,nasser kehtarnavaz
"Bhatia, Dinesh","Thakur, Sneha",,,,,EE,4389,0U1,2,8,2,7,1,,,,,,,,,,,,,,,dinesh,dinesh bhatia
"Pourkamali, Siavash","Qaradaghi, Vahid",,,,,EE,3310,5U1,4,6,7,4,,,,,1,,1,,1,,,,,,,sxp124631,siavash pourkamali
"Pourkamali, Siavash","Shahshahani, Masoud",,,,,EE,3311,0U1,6,6,4,4,2,,1,,2,,1,,,,,,,,,sxp124631,siavash pourkamali
"Ardestani Khoubrouy, Soudeh","Birjandtalab Golkhatm, Javad",,,,,EE,3302,0U1,3,3,5,3,6,3,2,2,2,,1,1,1,,,,,,,sxa074200,soudeh khoubrouy
"Kiasaleh, Kamran",,,,,,EE,3301,0U1,,7,,1,2,4,5,3,4,,3,,4,,,,,,,kamran,kamran kiasaleh
"Tamil, Lakshman",,,,,,EEBM,7V87,0W1,,17,6,3,,,,,,,,,,,,,,,,laxman,lakshman tamil
"Sechen, Carl","Xu, Xiangyu","Hu, Bo",,,,EECT,7325,5U1,,9,8,5,,,,,,,,,,,,,,,,cms057000,carl sechen
"Tinker, Mark T",,,,,,EEMF,6372,5U1,,9,4,5,2,,,,,,,,,,,,,,,mtinker,mark tinker
"Tamil, Lakshman",,,,,,EEOP,6314,0H1,,10,2,4,,,,,,,,,,,,,,,1,laxman,lakshman tamil
"Henderson, Rashaunda M","Baral, Ashwin Bhobani",,,,,EERF,7V89,0W1,,15,1,,1,,,,,,,,,,,,,,1,rmh072000,rashaunda henderson
"Ali, Mohammed Z","Akbar, Md Navid",,,,,ENGR,3300,0U2,3,8,3,2,2,2,,3,,,,1,,,,,,,,mohammed,ali mohammed
"Skinner, Neal G","Tao, Fei",,,,,ENGR,2300,0U1,1,5,2,7,5,4,3,,2,1,,,2,,,,,,,skinner,neal skinner
"Ali, Mohammed Z","Akbar, Md Navid","Shankar, Nikhil",,,,ENGR,3300,0U1,1,15,,5,5,2,1,8,,,,,,,,,,,,mohammed,ali mohammed
"Fonseka, John",,,,,,ENGR,3341,0U1,3,1,3,1,5,3,5,4,4,,2,5,7,,,,,,,kjp,john fonseka
"Guengerich, Steven","Kim, Dong Shin",,,,,ENTP,3301,0U1,,,2,5,2,3,1,,,,,,,,,,,,,sxg172931,steven guengerich
"Edsel, Alexander D","Surolia, Prakhar",,,,,ENTP,4335,0W1,,1,2,2,1,1,4,,2,,,,,,,,,,,ade012000,alexander edsel
"Pedigo, Madison F",,,,,,ENTP,6370,5U1,,11,,,8,,,,,,,,,,,,,,,mfp013000,madison pedigo
"Bochsler, Daniel C",,,,,,ENTP,6375,0W1,,21,8,1,2,3,,,,,,,1,,,,,,1,dcb091000,daniel bochsler
"Hubbard, Sean P",,,,,,EPPS,2302,5U1,3,1,2,1,,2,,,,,,,4,,,,,,,sph120030,sean hubbard
"Richardson, Debra L",,,,,,FIN,3370,0U1,,3,,,5,,,1,,,1,,,,,,,,,dlr150330,debra richardson
"Lynch, Julie","DeCourcy, George A",,,,,FIN,3305,5U1,1,3,,2,2,1,1,1,,,,,,,,,,,,jxl180030,julie lynch
"Xiao, Serena W",,,,,,FIN,4300,0U1,3,3,2,1,4,1,,,1,,,,1,,,,,,,swx170030,
"Springate, David J",,,,,,FIN,6311,SU1,,6,4,2,2,2,,,,,,,,,,,,,,spring8,david springate
"Day, Theodore",,,,,,FIN,6360,SU1,,4,3,2,5,2,,,,,,,,,,,,,,tday,theodore day
"Reichert, Carolyn A",,,,,,FIN,6301,XS1,,7,5,2,1,,1,,,,,,,,,,,1,,carolyn,carolyn reichert
"Lynch, Julie","Guttery, Randall",,,,,FIN,3300,0U1,,1,3,,7,,,5,,,1,,,,,,,,,jxl180030,julie lynch
"Reichert, Carolyn A",,,,,,FIN,6301,PU1,,9,3,4,1,,,,,,,,,,,,,,,carolyn,carolyn reichert
"Kummer, Adnan",,,,,,FIN,6366,GW1,,15,3,,,,,,,,,,,,,,,,,,adnan kummer
"Baranchuk, Nina",,,,,,FIN,6350,5U1,,9,3,1,3,1,,1,,,,,,,,,,,1,nxb043000,nina baranchuk
"Smith, Kenneth L",,,,,,FIN,3350,5U1,,8,,,4,,2,2,,,2,,2,,,,,,,kls110030,ken smith
"Pedigo, Madison F",,,,,,FIN,3360,0U1,,4,3,1,5,4,,1,,,1,1,,,,,,,,mfp013000,madison pedigo
"Guttery, Randall",,,,,,FIN,6321,5U1,,4,1,,10,1,,4,,,,,,,,,,,,rxg112530,randall guttery
"Ghai, Rajesh",,,,,,FIN,6360,5U1,,11,,,5,4,,,,,,,,,,,,,,rxg170730,rajesh ghai
"Khanapure, Revansiddha B",,,,,,FIN,6301,5U1,,3,4,7,3,2,,,,,,,,,,,,,3,rbk160130,revansiddha khanapure
"Manzi, Jeff","Han, Munhee",,,,,FIN,6314,0W1,,8,2,2,11,1,,1,,,,,,,,,,,,jxm158130,jeffrey manzi
"Manzi, Jeff","Han, Munhee",,,,,FIN,3320,0U2,2,3,3,3,8,3,1,3,1,,1,,,,,,,,,jxm158130,jeffrey manzi
"Peabody, Stephen D","Sharma, Varun",,,,,FIN,3320,0U4,,3,1,2,4,3,2,3,4,2,2,3,1,,,,,,,sdp093020,
"El-Ashmawi, Amal H",,,,,,FIN,3390,5U1,4,,6,4,3,1,1,3,1,,3,5,1,,,,,,1,ahe013000,amal el ashmawi
"Manzi, Jeff","Han, Munhee",,,,,FIN,3320,0U1,,7,3,1,10,4,1,3,,1,2,,,,,,,,2,jxm158130,jeffrey manzi
"Ma, Liping","Sharma, Varun",,,,,FIN,6306,5U1,,15,5,6,3,6,1,,,,,,,,,,,,1,lxm133730,liping ma
"Fahimi, Mohammad Mahdi",,,,,,FIN,3320,5U1,3,6,4,6,4,6,4,2,1,1,,,,,,,,,,mxf130830,mahdi fahimi
"Lewin, Peter","Han, Munhee",,,,,FIN,6308,0W1,,14,6,3,4,9,,2,,,,,,,,,,,,plewin,peter lewin
"Peabody, Stephen D","Sharma, Varun",,,,,FIN,3320,0U3,1,5,7,10,3,6,3,2,,1,,,1,,,,,1,,sdp093020,
"Mjigal, Tahar",,,,,,FIN,3330,5U1,6,11,23,2,,,,,,,,,,,,,,,,txm132730,tahar mjigal
"Noland, Jeff","Han, Munhee",,,,,FIN,6352,5U2,,14,10,13,7,10,,,,,,,,,,,,,,jxn125330,jeff noland
"El-Ashmawi, Amal H",,,,,,FIN,6301,0W1,,47,,,6,,,2,,,,,,,,,,,2,tday,theodore day
"Vakulenko, Irina",,,,,,GEOG,3372,051,1,2,2,3,4,2,3,3,,,,,2,,,,,1,,iav081000,irina vakulenko
"Geissman, John W",,,,,,GEOS,3300,0S1,,2,2,4,2,1,,,,,,,,,,,,,,jwg102020,john geissman
"Griffin, William R",,,,,,GEOS,1303,051,,,,2,4,1,2,2,2,1,,,,,,,,,1,griffin,william griffin
"Chun, Yongwan",,,,,,GISC,6387,5U1,,5,7,5,2,,,,,,,,,,,,,1,1,yxc070300,
"Culp, Justin G",,,,,,GOVT,2305,0U1,,12,,1,8,,,6,,,2,,,,,,,,1,jgc130130,
"Lux, Ryan J",,,,,,GOVT,2306,092,,3,7,5,4,8,4,,,1,,1,5,,,,,,1,rjl140330,ryan lux
"Ewing, Donna M",,,,,,HDCD,6370,0U1,,7,1,1,1,,,1,,,,,,,,,,,,dme061000,donna ewing
"Schulze, Jeffrey",,,,,,HIST,3396,051,,3,4,2,,3,2,,2,,,1,1,,,,,,,jxs072200,jeffrey schulze
"Dennis, Patrick W",,,,,,HIST,3328,091,,2,3,5,3,5,4,1,2,,,,4,,,,,,1,pdennis,patrick dennis
"Volanto, Keith J","Ye, Huiping",,,,,HIST,2301,591,,17,,,16,,2,4,,,3,,5,,,,,1,,kjv062000,keith volanto
"Baetge, Claire",,,,,,HLTH,1301,0W1,,14,7,,4,1,,,1,,,,2,,,,,,,cxb170330,claire baetge
"Byrnes, Kathleen A",,,,,,HLTH,3300,0U1,,3,9,9,5,7,5,1,1,1,,1,1,,,,,,,kab019000,kathleen byrnes
"Malaise, Michael",,,,,,HMGT,6331,5U1,,9,,3,,,,,,,,,,,,,,,,mhm130430,michael malaise
"Jacob, Stephen",,,,,,HMGT,6330,CH1,,13,1,1,1,,,,,,,,,,,,,,,,stephen jacob
"Ramanathan, Kannan",,,,,,HMGT,6332,5U1,,11,5,4,3,,,,,,,,,,,,,,,kxr087000,kannan ramanathan
"Fleming, Forney F",,,,,,HMGT,6320,CH1,,26,1,1,1,,,,,,,,,,,,,,,fwf081000,forney fleming
"Convery, Paul","Deegan, Michael","McCracken, John",,,,HMGT,6408,AS1,,46,1,,,,,,,,,,,,,,,,,,paul convery
"Amato, Lawrence A","Ott, Lynette",,,,,HUMA,1301,051,10,10,7,3,3,1,3,1,,,,1,4,,,,,,1,laa062000,lawrence amato
"Brewer, Kenneth L",,,,,,HUSL,6305,551,,14,,,,,,,,,,,,,,,,,,klb092000,kenneth brewer
"Siklar, Kurt",,,,,,IMS,6360,0W1,,8,3,1,3,,1,,,,,,,,,,,,,kxs014600,kurt siklar
"Kiser, Stephen L",,,,,,IMS,6204,XS1,,6,10,,,,,,,,,,,,,,,1,,slk012100,stephen kiser
"Kiser, Stephen L",,,,,,IMS,6204,GH1,,7,11,,,,,,,,,,,,,,,,,slk012100,stephen kiser
"Peinhardt, Clint W",,,,,,IMS,6213,GW1,,2,2,3,7,3,,1,,,,,,,,,,,,cwp052000,clint peinhardt
"Katz, Lothar",,,,,,IMS,6253,GH1,,3,3,5,7,,,,,,,,,,,,,,,,lothar katz
"Petrik, Peter","McCracken, John",,,,,IMS,6204,AW1,,11,,,9,,,,,,,,3,,,,,,2,,peter petrik
"Henderson, Tom",,,,,,IMS,3310,0U2,,14,1,5,6,,1,4,1,,1,,1,,,,,,,txh093000,tom henderson
"Henderson, Tom",,,,,,IMS,3310,5U1,,8,4,3,6,1,1,8,,,3,,2,,,,,,,txh093000,tom henderson
"Woldu, Habte G","Kim, Kyun",,,,,IMS,6204,0W1,,11,15,8,7,1,,,,,,,,,,,,,3,wolduh,habte woldu
"Li, Xiujuan",,,,,,IMS,3310,0U1,2,5,14,13,7,3,,,,,1,,,,,,,,,xxl133730,
"Rosa, Jonathan",,,,,,ISIS,3335,091,7,2,4,4,2,1,1,,,1,,,4,,,,,,,jxr172530,jonathan rosa
"Pujana, Ignacio",,,,,,ISNS,2367,0W2,13,11,3,2,2,1,1,,1,,1,1,5,,,,,,,pujana,ignacio pujana
"Pujana, Ignacio",,,,,,ISNS,2367,0W1,28,29,13,7,7,4,1,1,,1,,2,3,,,,,,1,pujana,ignacio pujana
"Pujana, Ignacio",,,,,,ISNS,2359,0W1,63,9,4,5,2,4,3,1,1,1,1,3,8,,,,,,,pxs077000,prabin shilpakar
"Thompson, Luell O","Sun, Geng",,,,,ITSS,4340,0U1,,3,4,2,6,,,,,,,,1,,,,,,,lot013000,luell thompson
"Shekhar, Gaurav","Pakala, Tharun Reddy",,,,,ITSS,4351,5U1,,1,2,5,6,,2,,,,,,,,,,,,,gxs150130,gaurav shekhar
"Islam, Naser","Sun, Geng",,,,,ITSS,4330,5U1,1,4,2,6,9,,1,1,,,,,,,,,,,,nxi110630,naser islam
"Owens, Dawn M","Pakala, Tharun Reddy",,,,,ITSS,4300,5U1,,3,3,8,4,4,1,4,1,,,,1,,,,,,,dmo130130,dawn owens
"Yang, Mingwen",,,,,,ITSS,3312,5U1,10,14,3,2,,,,,,,,,,,,,,,,mxy131030,
"Arora, Vivek","Hosseini, Leila",,,,,ITSS,3390,5U1,6,9,6,5,3,,,,,,,,1,,,,,,1,vxa081000,vivek arora
"Samuel, Jayarajan",,,,,,ITSS,3300,5U1,,13,12,7,8,,1,1,1,,1,,1,,,,,,,jxs124931,
"Akar, Ezgi","Ozdemir, Dicle Yagmur",,,,,ITSS,3300,0U1,,3,9,9,7,3,4,1,4,1,1,1,2,,,,,,2,exa170230,
"Kim, Yeongin",,,,,,ITSS,3311,5U1,1,21,10,11,,,2,,,,,,1,,,,,,,yxk130930,yeongin kim
"Gonzalez, Cristina M",,,,,,LANG,2V42,051,,15,,,,,,,,,,,,,,,,,,cxg042000,cristina gonzalez
"Hunt, Shamim",,,,,,LIT,2331,591,3,2,4,1,,,,1,1,,,,2,,,,,,,sxh034100,
"Ingrao, Peter J",,,,,,LIT,3327,051,5,6,6,4,1,1,2,1,1,,1,,,,,,,,,jingrao,peter ingrao
"Bruce, Norris I",,,,,,MAS,6V05,0U2,,4,4,3,,,,,,,,,,,,,,,,nxb018100,norris bruce
"Cirilo, Jason M",,,,,,MAS,6102,0U1,,,,,,,,,,,,,,,,,20,,1,jmc180002,jason cirilo
"Nguyen, Mylinh T","Kotinkaduwe Rankothgedara, Lak Nilusha K",,,,,MATH,1314,0S1,2,2,1,1,1,,,1,,,,,,,,,,,1,mln018200,mylinh nguyen
"Akbar, Mohammad M","Thiam, Abdoulaye",,,,,MATH,2312,0S1,3,4,,1,,1,,,1,,,,,,,,,,,mma110020,mohammad akbar
"Ramakrishna, Viswanath",,,,,,MATH,2413,3S1,,,,,,,,,,,,,,,,,,,,vish,viswanath ramakrishna
"Eydelzon, Anatoly",,,,,,MATH,2419,8U2,,,,,,,,,,,,,,,,,,,,axe031000,anatoly eydelzon
"McCary, Brady C",,,,,,MATH,1326,5U1,,3,,,,1,,1,1,,1,,3,,,,,,1,bcm052000,brady mccary
"Ramakrishna, Viswanath","Adabrah, Anani Komla",,,,,MATH,2413,0S1,10,1,,,,,,,,,,,,,,,,,,vish,viswanath ramakrishna
"Mussa, Derege","Zhou, Qinyi",,,,,MATH,1306,0U1,1,,2,1,4,1,,2,,,,1,1,,,,,,,dxm146130,derege mussa
"Aman, Kelly",,,,,,MATH,2414,8U2,,,,,,,,,,,,,,,,,,,,kxa143530,kelly aman
"Eydelzon, Anatoly",,,,,,MATH,2451,8U2,,,,,,,,,,,,,,,,,,,,axe031000,anatoly eydelzon
"Nguyen, Mylinh T","Jayathilaka, Herath M",,,,,MATH,1314,0U1,3,,,1,,2,2,1,,,1,,3,,,,,,,mln018200,mylinh nguyen
"Eydelzon, Anatoly",,,,,,MATH,2419,8U1,,,,,,,,,,,,,,,,,,,,axe031000,anatoly eydelzon
"Aman, Kelly",,,,,,MATH,2414,8U1,,,,,,,,,,,,,,,,,,,,kxa143530,kelly aman
"Dahal, Rabin",,,,,,MATH,2415,8U1,,,,,,,,,,,,,,,,,,,,rxd153030,rabin dahal
"Eydelzon, Anatoly",,,,,,MATH,2451,8U1,,,,,,,,,,,,,,,,,,,,axe031000,anatoly eydelzon
"Dahal, Rabin",,,,,,MATH,2415,8U2,,,,,,,,,,,,,,,,,,,,rxd153030,rabin dahal
"McCary, Brady C",,,,,,MATH,1326,0U2,2,2,2,,2,2,1,2,1,1,,,3,,,,,,1,bcm052000,brady mccary
"Akbar, Mohammad M",,,,,,MATH,2413,3U1,,,,,,,,,,,,,,,,,,,,mma110020,mohammad akbar
"Ahsan, Mohammad K",,,,,,MATH,2417,3U1,,,,,,,,,,,,,,,,,,,,mka120030,mohammad ahsan
"Dahal, Rabin",,,,,,MATH,2418,8U2,,,,,,,,,,,,,,,,,,,,rxd153030,rabin dahal
"Ramakrishna, Viswanath",,,,,,MATH,2420,8U2,,,,,,,,,,,,,,,,,,,,vish,viswanath ramakrishna
"Li, Changsong",,,,,,MATH,1325,5U1,3,5,5,,,4,2,,,,,1,2,,,,,,,cxl109120,changsong li
"Aman, Kelly","Eze, Izuchukwu A","Rakotomalala, Diarisoa Mihaja Andriamanisa","Chowdhury, Md Mujibur Rahman",,,MATH,2414,0U2,1,2,2,3,4,5,1,1,1,,,,2,,,,,,,kxa143530,kelly aman
"Ahsan, Mohammad K","Helal, Md Abu",,,,,MATH,2417,0U1,5,,2,2,1,,,2,2,,2,2,5,,,,,,,mka120030,mohammad ahsan
"Ramakrishna, Viswanath",,,,,,MATH,2420,8U1,,,,,,,,,,,,,,,,,,,,vish,viswanath ramakrishna
"Dahal, Rabin",,,,,,MATH,2418,8U1,,,,,,,,,,,,,,,,,,,,rxd153030,rabin dahal
"Eydelzon, Anatoly","Khan, Samreen S","Khan, Md Arafat H","Mamun, Abdullah A",,,MATH,2419,0U1,,,3,1,2,5,4,1,7,,,,4,,,,,,,axe031000,anatoly eydelzon
"Akbar, Mohammad M","Akhavan Varnousfadera, Mohammadmehdi","Wadippuli Achchige, Lakmi Niwanthi",,,,MATH,2413,0U1,1,3,4,2,,7,,3,3,,1,,6,,,,,,,mma110020,mohammad akbar
"Eydelzon, Anatoly","Gudoshnikov, Ivan","Helal, Abdullah Al",,,,MATH,2451,0U1,2,6,5,1,3,2,2,4,6,,,,1,,,,,,,axe031000,anatoly eydelzon
"Aman, Kelly",,,,,,MATH,2414,8U3,,,,,,,,,,,,,,,,,,,,kxa143530,kelly aman
"Dahal, Rabin","Popa, Jonathan M","Lama, Sonam",,,,MATH,2415,0U1,3,4,4,2,6,5,5,3,1,1,1,1,2,,,,,,,rxd153030,rabin dahal
"Aman, Kelly","Eze, Izuchukwu A","Rakotomalala, Diarisoa Mihaja Andriamanisa","Chowdhury, Md Mujibur Rahman",,,MATH,2414,0U1,1,6,3,4,6,5,1,6,2,1,1,2,5,,,,,,,kxa143530,kelly aman
"Li, Changsong",,,,,,MATH,1326,0U1,4,2,4,4,2,3,,6,2,2,2,3,7,,,,,,1,cxl109120,changsong li
"Ramakrishna, Viswanath","Shinglot, Vrushaly K","Iudaev, Sergei",,,,MATH,2420,0U1,7,4,5,8,4,1,1,3,2,4,1,,7,,,,,1,,vish,viswanath ramakrishna
"Dahal, Rabin","Acharya, Subas","Gelir, Fatih",,,,MATH,2418,0U1,10,4,9,1,4,7,1,,3,2,6,1,2,,,,,,,rxd153030,rabin dahal
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3105,0U1,1,3,5,1,1,5,3,,,,,,1,,,,,,,oxr106020,oziel rios
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3305,0U1,,,2,4,4,2,3,3,,1,,1,,,,,,,,oxr106020,oziel rios
"Hart, Robert A",,,,,,MECH,4382,0U1,,15,4,1,,,,,,,,,,,,,,,,rxh124630,robert hart
"Thamban, P.L.Stephan",,,,,,MECH,2310,0U1,,4,2,2,3,3,2,2,,1,,,,,,,,,,stephan,p l stephan thamban
"Hart, Robert A",,,,,,MECH,4382,0U2,,9,5,2,4,2,,,,,,,,,,,,,,rxh124630,robert hart
"Hart, Robert A","Gravell, Jamie D","Upasham, Sayali S",,,,MECH,4381,0U1,,6,9,5,3,,1,,,,,,,,,,,,,rxh124630,robert hart
"Park, Wooram","Sunny, Sumair F",,,,,MECH,4340,0U1,1,8,7,5,8,4,2,2,3,,,,,,,,,,,wxp103020,wooram park
"Fadda, Dani Z","Balachandran, Balasubramaniam",,,,,MECH,3320,0U1,2,13,7,8,5,5,4,4,1,,,1,,,,,,1,,dzf091000,dani fadda
"Kiser, Stephen L",,,,,,MECO,6303,AW1,,10,2,,,,,,,,,,1,,,,,,1,slk012100,stephen kiser
"Lewin, Peter","Han, Munhee",,,,,MECO,6303,0W2,,17,12,6,12,,1,1,,,,,,,,,,,,plewin,peter lewin
"Lewin, Peter","Han, Munhee",,,,,MECO,6303,0W1,,28,9,7,9,2,,,,,,,,,,,,,1,plewin,peter lewin
"Kiser, Stephen L","Sharma, Varun",,,,,MECO,6303,5U1,,14,17,7,8,4,3,1,,,,,1,,,,,,1,slk012100,stephen kiser
"Parker, Jason A","Zhang, Haozhao",,,,,MIS,6356,5U2,,15,,2,,,1,,,,,,,,,,,,,jap090020,jason parker
"Saeed, Kashif","Zhang, Haozhao",,,,,MIS,6345,0W1,,8,8,3,3,,,,,,,,,,,,,,,kxs147230,kashif saeed
"Thompson, Luell O",,,,,,MIS,6319,0W1,,8,,,14,,,1,,,,,,,,,,,,lot013000,luell thompson
"Thomas, Sunela","Hosseini, Leila",,,,,MIS,6323,5U1,,11,,,8,,,2,,,,,2,,,,,,,sxt167730,sunela thomas
"Kirksey, Kirk",,,,,,MIS,6204,CH1,,25,,,,,,,,,,,,,,,,,,kak130030,kirk kirksey
"Narayan, Ravishankar L","Ozdemir, Dicle Yagmur",,,,,MIS,6364,0W1,,12,9,5,3,,1,,,,,,,,,,,,1,rln130030,ravishankar narayan
"Bradbury, Judd D","Sharma, Aman",,,,,MIS,6380,0W2,,8,10,4,8,1,1,1,,,,,,,,,,,,jdb101000,judd bradbury
