Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized
ACCT,4334,001,,10,,,20,,,9,,,2,,,14,3,,1,"Linsteadt, Chris C","Truong, Timothy T",,,,,ccl019000,chris linsteadt
ACCT,4334,501,,8,,,13,,,9,,,2,,,3,,,0,"Linsteadt, Chris C","Truong, Timothy T",,,,,ccl019000,chris linsteadt
ACCT,4334,PP1,,14,,,14,,,1,,,,,,5,,,0,"Linsteadt, Chris C","Truong, Timothy T",,,,,ccl019000,chris linsteadt
ACCT,4334,PP2,,7,,,11,,,1,,,,,,15,1,,0,"Linsteadt, Chris C","Truong, Timothy T",,,,,ccl019000,chris linsteadt
ACCT,4336,001,3,3,3,4,2,2,,1,,,,,,1,,,0,"Bowen, Richard M","LeVecchio, Anthony J","Kim, Eun Sean",,,,rxb073100,richard bowen
ACCT,4337,501,1,3,2,2,2,2,3,4,1,6,3,1,,1,1,,4,"Ballew, Gregory E","Herr-Perez, Noe C",,,,,jan170230,joseph nketia
ACCT,4340,001,14,10,5,5,4,3,1,1,,,1,,1,3,,,3,"Johnson, Jennifer","Garcia, Gerardo E",,,,,jxj091000,jennifer johnson
ACCT,4342,001,4,9,2,7,5,5,3,,2,1,1,,,4,1,,6,"Johnson, Jennifer","Garcia, Gerardo E",,,,,jxj091000,jennifer johnson
ACCT,4342,501,2,4,3,5,5,3,4,1,2,2,1,1,,3,,,2,"Johnson, Jennifer","Garcia, Gerardo E",,,,,jxj091000,jennifer johnson
ACCT,6193,SW1,,10,,,,,,,,,,,,,,,0,"Solcher, Steven J",,,,,,sjs107020,steven solcher
ACCT,6202,501,,7,8,11,5,1,,2,,,,,3,,,4,1,"Janakiraman, Surya","Jeong, Sihyun",,,,,suryaj,surya janakiraman
ACCT,6291,SW1,,9,,,2,,,,,,,,,,,,1,"Zolton, Kathy",,,,,,kxz121730,kathy zolton
ACCT,6301,0W1,,23,19,5,2,2,,,,,,,,,,1,3,"Ali, Ashiq","He, Jiapeng",,,,,axa042200,ashiq ali
ACCT,6301,501,,12,12,8,5,5,,1,,,,,4,,,15,3,"Ballew, Gregory E","Herr-Perez, Noe C",,,,,lxg152230,lale guler
ACCT,6301,CH1,,20,3,1,2,,,1,,,,,1,,,,2,"Barden, John P",,,,,,jpb063000,john barden
ACCT,6301,GW1,,36,2,1,6,,,,,,,,1,,,1,0,"Barden, John P",,,,,,jpb063000,john barden
ACCT,6301,MBC,,41,3,6,2,2,,,,,,,,,,3,1,"Radhakrishnan, Suresh","He, Jiapeng",,,,,sradhakr,suresh radhakrishnan
ACCT,6301,MBP,,34,3,3,5,2,,,,,,,,,,3,3,"Radhakrishnan, Suresh","He, Jiapeng",,,,,sradhakr,suresh radhakrishnan
ACCT,6301,XS1,,15,10,1,1,1,,,,,,,,,,1,0,"Sadka, Gil",,,,,,gxs143630,gil sadka
ACCT,6305,001,,9,3,9,3,3,,,,,,,1,,,6,1,"Li, Ningzhong","Jeong, Sihyun","Kim, Eun Sean",,,,nxl124130,ningzhong li
ACCT,6305,501,,8,4,4,3,1,,,,,,,,,,4,1,"Li, Ningzhong","Jeong, Sihyun","Kim, Eun Sean",,,,nbo150030,naim ozel
ACCT,6305,502,,16,8,4,,1,1,1,,,,,,,,9,0,"Li, Ningzhong","Jeong, Sihyun","Kim, Eun Sean",,,,nbo150030,naim ozel
ACCT,6320,0W1,,2,2,2,1,1,,,,,,,1,,,1,0,"Cavusoglu, Huseyin","Jethwani, Pallavi",,,,,huseyin,huseyin cavusoglu
ACCT,6321,SS1,,5,2,2,3,2,,,,,,,,,,,1,"Scott, James A",,,,,,jas076100,james scott
ACCT,6330,501,,11,,,11,,,1,,,,,5,,,9,4,"Cready, William M","Le, My-Duyen T",,,,,wxp042000,wenjin pang
ACCT,6330,SS1,,4,2,,2,2,1,2,,,,,,,,2,0,"Zhang, Yuan","Le, My-Duyen T",,,,,yxz122931,yuan zhang
ACCT,6331,501,,7,8,6,6,3,,,,,,,3,,,5,2,"Janakiraman, Surya","Jeong, Sihyun",,,,,nataraj,ramachandra natarajan
ACCT,6331,SS1,,1,7,3,3,1,,,,,,,,,,,0,"Janakiraman, Surya","Jeong, Sihyun",,,,,suryaj,surya janakiraman
ACCT,6332,501,,13,,,5,,1,2,,,,,2,,,10,2,"Karnuta, Daniel","Kim, Eun Sean",,,,,dxk173030,daniel karnuta
ACCT,6333,501,,16,,,11,,,1,,,,,2,,,9,5,"Zolton, Kathy",,,,,,kxz121730,kathy zolton
ACCT,6333,PP1,,22,,,16,,,7,,,,,,,,10,0,"Zolton, Kathy",,,,,,kxz121730,kathy zolton
ACCT,6333,SS1,,7,,,4,,,,,,,,,,,3,1,"Zolton, Kathy",,,,,,kxz121730,kathy zolton
ACCT,6334,001,,13,,,12,,,1,,,,,,,,7,2,"Linsteadt, Chris C","Truong, Timothy T",,,,,lxg152230,lale guler
ACCT,6335,003,,18,11,10,11,3,2,,,,,,,,,8,0,"Bortz, Tiffany A","Benny, Keerthy",,,,,tabortz,tiffany bortz
ACCT,6335,SS1,,5,1,4,4,,,,,,,,,,,1,0,"Bortz, Tiffany A","Benny, Keerthy",,,,,tabortz,tiffany bortz
ACCT,6336,001,,9,7,2,3,3,,,,,,,1,,,1,0,"Mauriello, Joseph A","Truong, Timothy T",,,,,jam151430,joseph mauriello
ACCT,6341,501,,12,1,5,9,1,,,,,,,1,,,,1,"Goodrich, Mary Beth W","Pham, Michelle D",,,,,goodrich,mary beth goodrich
ACCT,6344,001,,6,6,5,1,1,,,,,,,,,,10,0,"Bowen, Richard M","LeVecchio, Anthony J","Kim, Eun Sean",,,,rxb073100,richard bowen
ACCT,6344,0W1,,8,9,22,7,1,,,,,,,,,,,0,"Gurun, Umit","Holstead, Cameron",,,,,ugg041000,umit gurun
ACCT,6350,501,,10,12,2,3,,,,,,,,,,,,1,"Solcher, Steven J","Kim, Eun Sean",,,,,jpg140630,john gamino
ACCT,6350,SS1,,12,,1,1,,,,,,,,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,6353,501,,5,9,8,2,1,,,,,,,2,,,1,1,"Solcher, Steven J","Kim, Eun Sean",,,,,jpg140630,john gamino
ACCT,6354,501,,8,,2,4,1,2,2,,,,,2,,,8,2,"Pang, Wenjin","Pham, Michelle D",,,,,whw041000,william wilson
ACCT,6356,501,,25,3,2,1,2,,,,,,,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino
ACCT,6365,501,,9,15,26,8,8,6,2,,,,,,,,13,1,"Cheng, Samuel",,,,,,sxc109021,samuel cheng
ACCT,6365,SS1,,6,3,1,,2,,1,,,,,,,,3,0,"Cheng, Samuel",,,,,,sxc109021,samuel cheng
ACCT,6373,501,,6,19,10,3,,1,,,,,,,,,,0,"Mauriello, Joseph A","Truong, Timothy T",,,,,axb149330,anindita bardhan
ACCT,6374,PPA,,23,11,12,4,1,,,,,,,,,,4,0,"Mauriello, Joseph A","Truong, Timothy T",,,,,jam151430,joseph mauriello
ACCT,6380,501,,5,6,4,5,,,,,,,,,,,5,4,"Mauriello, Joseph A","Truong, Timothy T","Sauer, Ashlyn M",,,,jam151430,joseph mauriello
ACCT,6383,501,,31,11,3,1,,,,,,,,1,,,,0,"Kromer, Jeffrey",,,,,,dxb016100,dana bracy
ACCT,6386,001,,15,7,2,8,,,,,,,,1,,,4,1,"Mauriello, Joseph A","Sauer, Ashlyn M",,,,,jam151430,joseph mauriello
ACCT,6388,501,,21,3,1,,,,,,,,,,,,,0,"Goodrich, Mary Beth W","Pham, Michelle D",,,,,dxr143530,david reid
ACN,6312,001,,6,1,1,,1,,3,,,,,,,,5,0,"Juhn, Nancy H","Batchalli Maruthy, Gayathri","Austin, Kathryn A",,,,njuhn,nancy juhn
ACN,6312,003,,4,6,1,6,2,,2,,,,,,,,4,3,"Juhn, Nancy H","Batchalli Maruthy, Gayathri","Austin, Kathryn A",,,,njuhn,nancy juhn
ACN,6340,001,,15,6,5,,3,1,,,,,,1,,,,3,"Kroener, Sven",,,,,,sxm127330,steven mcwilliams
ACN,6341,0W1,,15,,,,,,,,,,,,,,,1,"Orrick, Erika D",,,,,,edo042000,erika orrick
ACN,6346,001,,34,4,6,,1,,,,,,,1,,,,1,"Thompson, Lucien",,,,,,tres,lucien thompson
ACN,6348,501,,18,,2,2,,,,,,,,,,,,1,"Golden, Richard",,,,,,golden,richard golden
ACN,6373,001,,29,,,3,,,,,,,,,,,,1,"Overzet, Kathryn M",,,,,,amoller,aage moller
ACN,6388,001,,2,1,2,3,,,1,,,,,1,,,,1,"Kilgard, Michael",,,,,,kilgard,michael kilgard
ACN,6389,501,,10,1,1,,,,,,,,,,,,,2,"Assmann, Peter",,,,,,assmann,peter assmann
ACN,6395,001,,18,,,8,,,2,,,,,2,,,1,0,"Wig, Gagandeep S",,,,,,fxf013100,francesca filbey
ACN,6V81,001,,16,2,1,,,,1,,,,,,,,,0,"Jahangiri, Faisal R",,,,,,amoller,aage moller
ACN,6V81,002,,8,,,15,,,,,,,,,,,4,0,"Sultana, Rukhsana",,,,,,frj190000,faisal jahangiri
ACN,7372,001,,17,,,,,,,,,,,,,,,0,"Rodrigue, Karen M",,,,,,kmr082000,karen rodrigue
ACTS,4304,001,3,8,4,2,3,2,,,,,,,,,,,0,"Humphreys, Natalia A","Bal, Sabindra Singh",,,,,nah103020,natalia humphreys
ACTS,4308,001,9,2,6,6,7,5,3,2,5,1,1,1,3,10,4,,10,"Makhijani, Neha","Yang, Haopeng",,,,,nah103020,natalia humphreys
ACTS,6301,501,,2,2,2,3,,,,,,,,,,,,1,"Lu, Wenyi",,,,,,wxl153330,wenyi lu
ACTS,6304,501,,3,1,2,2,1,,,,,,,,,,,1,"Lu, Wenyi",,,,,,wxl153330,wenyi lu
ACTS,6306,501,,4,5,2,1,,,,,,,,,,,,0,"Koshevnik, Yuly",,,,,,yxk055000,yuly koshevnik
AHST,1304,001,74,14,4,4,1,3,1,4,1,,,,2,,2,,4,"Alibhai, Ali Asgar H","Anderson, Linda K",,,,,dgoode,dianne goode
AHST,1304,002,56,18,11,2,4,7,3,,3,,,,3,2,1,,3,"Alibhai, Ali Asgar H","Mei, Kehan",,,,,dgoode,dianne goode
AHST,2331,001,51,48,22,11,8,2,2,4,1,2,2,,7,3,2,,4,"Rosen, Mark S","Dunbar, Amanda R","Zawng, Ze",,,,djd011500,debra dewitte
AHST,2331,HN1,17,7,,,,,,,,,,,,,,,1,"Hofland, Amy",,,,,,axh190029,amy hofland
AHST,3320,001,28,6,5,3,,1,,,,,,,3,,,,3,"Alibhai, Ali Asgar H",,,,,,aha180002,ali alibhai
AHST,4342,001,3,9,7,7,3,2,1,3,2,1,1,,1,,,,5,"Thomas, Michael L",,,,,,cxt074100,charissa terranova
AMS,2341,001,,11,18,11,8,1,,,,,2,,,11,1,,1,"Naqvi, Syed K",,,,,,lxw163630,larissa werhnyak
AMS,2341,HN1,,14,5,1,1,1,,,,,,,1,1,,,1,"Smith, Erin",,,,,,erins,erin smith
AMS,2390,002,,4,3,2,2,1,,1,,,1,,,1,,,1,"Naqvi, Syed K",,,,,,nxp174730,neall pogue
AMS,3316,0W1,22,13,6,,2,1,,,,,1,,2,,,,2,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,4300,5H1,,6,1,2,2,,1,,1,,,,,,,,1,"Ross, Alyssa N",,,,,,anr161130,alyssa ross
AMS,4305,5H1,2,5,2,1,3,1,,,,,,,,,,,1,"Cotton, Scott C",,,,,,sxc024200,scott cotton
AMS,4327,0W1,24,11,1,1,2,2,,1,,,,,2,1,,,3,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead
AMS,4379,001,5,2,1,,,1,,,1,,,,,,,,0,"Hudson, Jennifer M",,,,,,skn180000,syed naqvi
ARAB,1311,001,7,11,,2,,,,,,,,,,,,,0,"Anjum, Zafar",,,,,,zxa110730,zafar anjum
ARAB,1312,001,5,2,,,1,,,2,,,,,,,,,0,"Anjum, Zafar",,,,,,zxa110730,zafar anjum
ARHM,1100,001,6,11,2,4,3,4,,1,1,1,,,1,1,1,,6,"Gray, Megan L",,,,,,exa160630,
ARHM,3342,001,,3,5,4,5,1,,,,,,,1,,,,2,"Wickberg, Daniel",,,,,,axb162631,ashley barnes
ARHM,3342,501,3,10,3,4,3,2,,1,,,,,,,,,1,"Hill, Kimberly D",,,,,,axb162631,ashley barnes
ARHM,3342,502,1,12,3,,3,1,1,,,,,,,1,1,,3,"Evans, Kathryn C",,,,,,sxs090100,sabrina starnaman
ARTS,1301,001,44,32,2,6,5,2,,1,1,,1,1,3,1,1,,2,"Grandjean, Kelly","Alanis Perez, Alan Isaac",,,,,wxs034000,winston stone
ARTS,1301,002,62,18,,5,5,1,,3,1,,,,1,2,1,,6,"Grandjean, Kelly","Cai, Rebecca",,,,,wxs034000,winston stone
ARTS,1316,001,5,11,1,,,,,,,,,,1,,,,1,"Min, Inki A",,,,,,iam140230,inki min
ARTS,1316,002,1,7,3,2,,1,,1,,,,,1,1,,,2,"Travis, Audrey",,,,,,knc103020,kristen cochran
ARTS,1316,003,5,1,1,1,1,,,,,1,,,3,,1,,1,"Booker, Rebecca M",,,,,,pdb041000,
ARTS,1316,004,2,9,4,1,,,,,,,,,2,,,,1,"Fridge, Brian D",,,,,,pdb041000,
ARTS,1316,005,1,13,2,,1,,,,1,,,,,,,,0,"Fridge, Brian D",,,,,,mrm141130,michael mazurek
ARTS,1316,007,2,4,5,,,1,1,,,,,,1,,,,0,"Travis, Audrey",,,,,,rsc150030,
ARTS,1316,501,,4,,,12,,,,,,,,,,1,,2,"Lacy, Mary E",,,,,,mel024000,mary lacy
ARTS,2316,001,,2,6,1,3,1,,,,,,,1,,1,,1,"Ligon, Peter A",,,,,,pal140130,peter ligon
ARTS,2316,501,,2,2,3,,1,,1,,,,,2,2,,,1,"Egan, Trey T",,,,,,tte150130,trey egan
ARTS,2350,001,2,1,4,1,1,2,,1,,,,,1,,2,,3,"Copeland, Colette",,,,,,cmm016900,cynthia miller
ARTS,2350,501,,3,10,2,,,,,,,,,1,,1,,2,"Loving, Emily",,,,,,exl097120,emily loving
ARTS,2380,001,,4,5,3,2,,1,,,,,,1,,,,0,"Egan, Trey T",,,,,,tte150130,trey egan
ARTS,3311,001,8,2,,2,,,1,1,,,,,1,,1,,0,"Copeland, Colette",,,,,,cxc132230,colette copeland
ARTS,3315,001,8,1,,,,,,,,,,,1,,,,0,"Curry, Val",,,,,,vxc110930,val curry
ARTS,3340,001,1,4,1,4,3,,,3,,,,,,1,,,1,"Etter, Ian",,,,,,vxc110930,val curry
ARTS,3363,001,5,7,,,2,,,1,,,,1,1,,,,2,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,3366,501,12,6,,,,,,,,,,,,1,,,0,"Miranda, Jeffrey",,,,,,jxm069000,jeffrey miranda
ARTS,3367,001,,4,,1,15,,,,,,1,,,,,,0,"Lacy, Mary E",,,,,,mel024000,mary lacy
ARTS,3367,501,6,9,,1,2,,,,,,,,,,,,2,"Miranda, Jeffrey",,,,,,jxm069000,jeffrey miranda
ARTS,3371,001,1,4,2,1,3,1,,,,,,,1,1,,,0,"Miller, Cynthia M",,,,,,cxc132230,colette copeland
ARTS,3372,001,,13,1,1,,,,,,,,,1,,,,2,"Loving, Emily",,,,,,exl097120,emily loving
ARTS,3375,001,1,3,5,2,1,,,,,,,1,,,,,1,"Randall, Steven V",,,,,,vxc110930,val curry
ARTS,3377,001,2,7,4,1,1,1,,,,,,,,,,,0,"Waligore, Marilyn A",,,,,,waligore,marilyn waligore
ARTS,3379,001,2,1,6,3,2,2,1,,,,,,1,,,,1,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer
ARTS,3382,001,3,2,1,1,5,,,,1,,,,,,,,1,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady
ARTS,4308,001,3,6,,,,,,1,,,,,1,,,,0,"Durant, Stephanie D",,,,,,ddm043000,
ARTS,4368,001,3,7,,,,,,,1,,,,,,,,0,"Pomara, John",,,,,,pomara,john pomara
ATCM,1100,001,7,16,4,2,1,1,2,,,,3,,3,,,,0,"Scoggins, Angela T",,,,,,pxl152030,paul lester
ATCM,1100,002,6,14,,,3,1,1,,,,2,,6,,,,1,"Scoggins, Angela T",,,,,,pxl152030,paul lester
ATCM,1100,003,14,3,3,1,1,2,1,,2,1,1,1,3,,2,,1,"Henderson, Kelley A",,,,,,hgw021000,harold wood
ATCM,1100,004,15,5,4,2,,3,2,1,2,,,,,,,,3,"Gutierrez, Alejandra",,,,,,hgw021000,harold wood
ATCM,1100,005,12,5,6,4,3,,1,,,1,1,2,1,,,,1,"Gutierrez, Alejandra",,,,,,esp041000,elizabeth boyd
ATCM,2300,001,,214,,19,14,,8,11,3,,3,,11,5,9,,21,"Balsamo, Anne","Rashid, Mohammed Mizanur","Simsek, Cansu Nur","Shukla, Nishanshi A","Martinez Ochoa, Angelica Miriam M","Adelman, David",axb161831,anne balsamo
ATCM,2301,001,5,8,,,6,,,,,,1,,1,,1,,3,"Trosper, Elizabeth M",,,,,,dxe093020,daedra christopher
ATCM,2301,002,7,6,7,1,3,2,,,,,,,3,,,,0,"Nguyen, Tuoc K",,,,,,dxe093020,daedra christopher
ATCM,2301,003,11,10,1,,3,1,1,,,1,1,,,,,,1,"Enam, Victor J",,,,,,dxe093020,daedra christopher
ATCM,2301,004,4,7,,,9,,,1,,,1,,,1,1,,1,"Trosper, Elizabeth M",,,,,,axn094120,asma naz
ATCM,2301,005,9,13,,,6,,,1,,,,,1,,,,0,"Trosper, Elizabeth M",,,,,,axn094120,asma naz
ATCM,2301,006,4,5,,,5,,,4,,,1,,3,1,1,,4,"Trosper, Elizabeth M",,,,,,pxl152030,paul lester
ATCM,2301,501,5,5,4,1,,1,,3,,1,,,,,1,,4,"Nielsen, Christina R","Monjoree, Uttamasha",,,,,pxl152030,paul lester
ATCM,2301,502,8,13,2,1,1,,,,,,,,,1,1,,3,"Hoggatt, Zane C",,,,,,axn094120,asma naz
ATCM,2302,001,8,6,3,1,1,1,1,1,,,1,,2,,,,1,"Minnish, Roxanne W","Beverly, Diamond E",,,,,daa170730,donna aldridge
ATCM,2302,002,6,7,6,2,,1,,,,,,,,,,,2,"Minnish, Roxanne W","Beverly, Diamond E",,,,,daa170730,donna aldridge
ATCM,2302,003,7,6,2,5,2,,1,,,,,,,,1,,1,"Minnish, Roxanne W","Beverly, Diamond E",,,,,sxh090220,sharon hewitt
ATCM,2302,004,9,5,4,2,1,1,1,,,,,,,,1,,1,"Minnish, Roxanne W","Beverly, Diamond E",,,,,daa170730,donna aldridge
ATCM,2302,005,7,10,2,2,1,1,,,1,,,,1,,,,0,"Alzate Mora, Catalina",,,,,,daa170730,donna aldridge
ATCM,2302,006,6,1,6,3,1,1,1,,2,,1,1,,,2,,0,"Asgharpour, Maedeh",,,,,,sxh090220,sharon hewitt
ATCM,2302,007,3,4,6,2,4,,,1,,,,,2,,,,2,"Flores, Carlin E",,,,,,rwm061000,roxanne minnish
ATCM,2302,501,6,3,2,1,4,,,1,,1,,1,4,,,,2,"Gonzalez, Isi J",,,,,,sxh090220,sharon hewitt
ATCM,2302,502,2,6,2,1,6,,,2,,,,4,2,,,,0,"Paiva Homsi, Murilo",,,,,,hgw021000,harold wood
ATCM,2303,001,3,46,25,8,7,6,1,,,,1,,,1,,,2,"Oropallo, Kara I","Jones, Jazmine Q","Boyd, Elizabeth",,,,mxs176131,monika salter
ATCM,2303,002,20,28,26,10,4,1,2,2,,1,1,1,,1,,,3,"Boyd, Elizabeth","Pietsch, Samuel R","Oropallo, Kara I",,,,kio160030,kara oropallo
ATCM,2310,001,61,36,24,21,12,18,8,8,6,3,1,2,9,1,7,,22,"Salter, Monika M","Lewis, Timothy M","McCord, Peter A","Lim, Fengjie","Johnson, Casey A",,mxs176131,monika salter
ATCM,2315,001,9,14,18,11,6,4,2,,2,,3,1,5,,1,,4,"Veras de Souza, Christine","Bagherzadeh, Elmira",,,,,cxv180000,christine veras de souza
ATCM,2320,001,,2,6,4,4,4,1,1,,,,,1,,2,,5,"Imaoka, Laura",,,,,,lxi170030,laura imaoka
ATCM,2321,001,,7,6,8,3,3,,2,,,,,,,,,1,"Sung, Wendy",,,,,,jdn160330,josef nguyen
ATCM,2321,501,15,6,1,1,2,2,1,1,,,,,,,,,1,"Nguyen, Josef D",,,,,,jdn160330,josef nguyen
ATCM,2322,001,15,8,2,1,2,2,,,,,,,,,,,0,"Wu, Hong An",,,,,,wxs172630,wendy sung
ATCM,2335,501,,17,,4,3,,,2,,,1,,,1,1,,1,"Stewart, Michael C",,,,,,yxc161331,yu kwong chiu
ATCM,2335,502,5,5,11,1,2,1,1,1,1,,,,2,,,,1,"Starzer, Kenneth W",,,,,,yxc161331,yu kwong chiu
ATCM,2335,503,2,1,3,4,4,1,1,3,,,1,,3,2,2,,3,"Chiu, Yu-Kwong",,,,,,kws042000,ken starzer
ATCM,2345,001,5,3,4,2,2,4,,,1,1,,,3,1,1,,3,"Fitzgerald, Harold E",,,,,,hxf170830,hal fitzgerald
ATCM,2345,002,8,9,5,,,,2,,,1,,1,1,,,,2,"Fitzgerald, Harold E",,,,,,hxf170830,hal fitzgerald
ATCM,2345,003,5,4,2,1,2,1,1,1,,,,,4,,,,7,"Fitzgerald, Harold E",,,,,,hxf170830,hal fitzgerald
ATCM,2355,001,9,2,2,2,1,,2,,,,,,2,,,,3,"Scott, Andrew F",,,,,,afs140330,andrew scott
ATCM,3301,001,,7,8,2,2,,,,,,,,,,,,0,"Mulla, Ayesha",,,,,,lxj132030,
ATCM,3301,002,,9,5,1,,1,1,,1,,,,,,,,1,"Mulla, Ayesha",,,,,,lxj132030,
